"","tconst","m1","m2","m3","m4"
"180","tt0020142","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"181","tt0020163","casablanca","north by northwest","the apartment","dr. strangelove or: how i learned to stop worrying and love the bomb"
"182","tt0020298","the philadelphia story","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"183","tt0020442","it happened one night","casablanca","singin' in the rain","the apartment"
"184","tt0020475","great expectations","all about eve","12 angry men","north by northwest"
"185","tt0020570","seven samurai","the good, the bad and the ugly","2001: a space odyssey","star wars: episode vi - return of the jedi"
"186","tt0020589","sundays and cybèle","le samouraï","el topo","hedwig and the angry inch"
"187","tt0020629","citizen kane","casablanca","lawrence of arabia","dr. strangelove or: how i learned to stop worrying and love the bomb"
"188","tt0020640","duck soup","a night at the opera","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"189","tt0020641","the philadelphia story","casablanca","notorious","rear window"
"190","tt0020668","snow white and the seven dwarfs","pinocchio","the umbrellas of cherbourg","blade runner"
"191","tt0020691","the maltese falcon","12 angry men","cool hand luke","el dorado"
"192","tt0020697","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"193","tt0020701","the seventh seal","persona","five easy pieces","morvern callar"
"194","tt0020768","sunrise","lawrence of arabia","pierrot le fou","ran"
"195","tt0020793","metropolis","singin' in the rain","yellow submarine","brazil"
"196","tt0020815","star wars: episode vi - return of the jedi","raid","the dark knight","the losers"
"197","tt0020821","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","the umbrellas of cherbourg","the wild bunch"
"198","tt0020827","the women","the maltese falcon","all about eve","sunset boulevard"
"199","tt0020960","citizen kane","casablanca","notorious","the third man"
"200","tt0021015","gone with the wind","rebecca","casablanca","to kill a mockingbird"
"201","tt0021040","citizen kane","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"202","tt0021079","citizen kane","the maltese falcon","casablanca","north by northwest"
"203","tt0021148","snow white and the seven dwarfs","the umbrellas of cherbourg","belle de jour","blade runner"
"204","tt0021156","casablanca","double indemnity","notorious","the 400 blows"
"205","tt0021165","the third man","rear window","vertigo","north by northwest"
"206","tt0021281","the women","the maltese falcon","all about eve","sunset boulevard"
"207","tt0021331","rashomon","the seventh seal","2001: a space odyssey","a clockwork orange"
"208","tt0021409","pather panchali","dr. strangelove or: how i learned to stop worrying and love the bomb","belle de jour","the wild bunch"
"209","tt0021505","east of eden","the good, the bad and the ugly","rosemary's baby","labyrinth"
"210","tt0021549","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"211","tt0021571","rear window","seven samurai","2001: a space odyssey","the sacrifice"
"212","tt0021577","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange"
"213","tt0021730","my man godfrey","the wizard of oz","sunset boulevard","on the waterfront"
"214","tt0021739","casablanca","it's a wonderful life","seven samurai","psycho"
"215","tt0021746","gone with the wind","citizen kane","casablanca","from here to eternity"
"216","tt0021749","modern times","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"217","tt0021763","e.t. the extra-terrestrial","dirty dancing","die hard","a fish called wanda"
"218","tt0021800","citizen kane","all about eve","the umbrellas of cherbourg","the conformist"
"219","tt0021814","frankenstein","casablanca","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"220","tt0021818","m","it's a wonderful life","singin' in the rain","north by northwest"
"221","tt0021873","it's a wonderful life","the big sky","lust for life","rain man"
"222","tt0021884","citizen kane","casablanca","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"223","tt0021885","the maltese falcon","mildred pierce","great expectations","the treasure of the sierra madre"
"224","tt0021890","casablanca","rear window","north by northwest","dr. strangelove or: how i learned to stop worrying and love the bomb"
"225","tt0021969","snow white and the seven dwarfs","pinocchio","pather panchali","blade runner"
"226","tt0022017","rear window","vertigo","north by northwest","the wild bunch"
"227","tt0022074","the philadelphia story","singin' in the rain","the apartment","blade runner"
"228","tt0022100","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"229","tt0022111","citizen kane","the maltese falcon","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"230","tt0022125","blade runner","brazil","city of god","a scanner darkly"
"231","tt0022150","casablanca","lawrence of arabia","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"232","tt0022158","duck soup","a night at the opera","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"233","tt0022183","bringing up baby","the wizard of oz","2001: a space odyssey","a clockwork orange"
"234","tt0022208","it happened one night","snow white and the seven dwarfs","the wizard of oz","the philadelphia story"
"235","tt0022251","the wizard of oz","pinocchio","psycho","star wars: episode vi - return of the jedi"
"236","tt0022268","bringing up baby","the philadelphia story","north by northwest","some like it hot"
"237","tt0022279","the maltese falcon","all about eve","sunset boulevard","the importance of being earnest"
"238","tt0022286","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"239","tt0022395","dracula","stalag 17","the man who shot liberty valance","planet of the apes"
"240","tt0022397","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"241","tt0022403","casablanca","sunset boulevard","some like it hot","the collector"
"242","tt0022436","citizen kane","the 400 blows","the wild child","the last picture show"
"243","tt0022454","grand hotel","house on haunted hill","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"244","tt0022458","the passion of joan of arc","rear window","vertigo","psycho"
"245","tt0022537","it happened one night","funny face","breakfast at tiffany's","dr. strangelove or: how i learned to stop worrying and love the bomb"
"246","tt0022550","m","bicycle thieves","12 angry men","yojimbo"
"247","tt0022599","m","citizen kane","seven samurai","north by northwest"
"248","tt0022694","the general","fantasia","citizen kane","bicycle thieves"
"249","tt0022698","citizen kane","casablanca","rear window","some like it hot"
"250","tt0022718","l'atalante","rashomon","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb"
