,nconst,primaryName
417,nm0000481,Alice Krige
418,nm0000482,Sylvia Kristel
419,nm0000483,Christopher Lambert
420,nm0000484,John Landis
421,nm0000485,Fritz Lang
422,nm0000486,Heather Langenkamp
423,nm0000487,Ang Lee
424,nm0000489,Christopher Lee
425,nm0000490,Spike Lee
426,nm0000491,John Leguizamo
427,nm0000492,Jennifer Jason Leigh
428,nm0000493,Jack Lemmon
429,nm0000494,Robert Sean Leonard
430,nm0000496,Juliette Lewis
431,nm0000498,Matthew Lillard
432,nm0000499,Bai Ling
433,nm0000500,Richard Linklater
434,nm0000501,Ray Liotta
435,nm0000502,Christopher Lloyd
436,nm0000505,Nia Long
437,nm0000506,Julia Louis-Dreyfus
438,nm0000507,Rob Lowe
439,nm0000509,Bela Lugosi
440,nm0000510,Andie MacDowell
441,nm0000511,Shirley MacLaine
442,nm0000513,William H. Macy
443,nm0000514,Michael Madsen
444,nm0000515,Virginia Madsen
445,nm0000516,Lee Majors
446,nm0000517,Terrence Malick
447,nm0000518,John Malkovich
448,nm0000519,David Mamet
449,nm0000520,Michael Mann
450,nm0000521,Sophie Marceau
451,nm0000523,Julianna Margulies
452,nm0000524,Mary Stuart Masterson
453,nm0000525,Heather Matarazzo
454,nm0000527,Walter Matthau
455,nm0000528,Mathilda May
456,nm0000530,Andrew McCarthy
457,nm0000531,Frances McDormand
458,nm0000532,Malcolm McDowell
459,nm0000534,Kelly McGillis
460,nm0000535,Rose McGowan
461,nm0000537,Steve McQueen
462,nm0000538,Colm Meaney
463,nm0000539,Dina Meyer
464,nm0000540,Russ Meyer
465,nm0000541,Bette Midler
466,nm0000542,Penelope Ann Miller
467,nm0000543,Sal Mineo
468,nm0000544,Carmen Miranda
469,nm0000545,Helen Mirren
470,nm0000546,Matthew Modine
471,nm0000547,Alfred Molina
472,nm0000549,Roger Moore
473,nm0000551,Dermot Mulroney
474,nm0000552,Eddie Murphy
475,nm0000553,Liam Neeson
476,nm0000554,Sam Neill
477,nm0000555,Judd Nelson
478,nm0000556,Olivia Newton-John
479,nm0000558,Leslie Nielsen
480,nm0000559,Leonard Nimoy
481,nm0000560,Nick Nolte
482,nm0000562,Jeremy Northam
483,nm0000563,Chris O'Donnell
484,nm0000564,Peter O'Toole
485,nm0000565,Lena Olin
486,nm0000566,Julia Ormond
487,nm0000568,Frank Oz
488,nm0000569,Gwyneth Paltrow
489,nm0000570,Alan Parker
490,nm0000571,Mary-Louise Parker
491,nm0000572,Sarah Jessica Parker
492,nm0000573,Dolly Parton
493,nm0000574,Jason Patric
494,nm0000575,Alexandra Paul
495,nm0000576,Sean Penn
496,nm0000577,George Peppard
497,nm0000578,Anthony Perkins
498,nm0000579,Ron Perlman
499,nm0000580,Luke Perry
500,nm0000581,Joseph L. Mankiewicz
501,nm0000582,Joe Pesci
502,nm0000583,Wolfgang Petersen
503,nm0000586,Jada Pinkett Smith
504,nm0000587,Donald Pleasence
505,nm0000588,Martha Plimpton
506,nm0000591,Roman Polanski
507,nm0000593,Kelly Preston
508,nm0000594,Jason Priestley
509,nm0000596,Jonathan Pryce
510,nm0000597,Bill Pullman
511,nm0000598,Dennis Quaid
512,nm0000599,Kathleen Quinlan
513,nm0000600,Sam Raimi
514,nm0000601,Harold Ramis
515,nm0000602,Robert Redford
516,nm0000603,Vanessa Redgrave
517,nm0000604,John C. Reilly
518,nm0000606,Jean Reno
519,nm0000608,Burt Reynolds
520,nm0000609,Ving Rhames
521,nm0000610,Giovanni Ribisi
522,nm0000612,Denise Richards
523,nm0000613,Joely Richardson
524,nm0000614,Alan Rickman
525,nm0000616,Eric Roberts
526,nm0000617,Tanya Roberts
527,nm0000618,Isabella Rossellini
528,nm0000619,Tim Roth
529,nm0000620,Mickey Rourke
530,nm0000621,Kurt Russell
531,nm0000622,Theresa Russell
532,nm0000623,Rene Russo
533,nm0000624,Laura San Giacomo
534,nm0000625,Fred Savage
535,nm0000626,John Sayles
536,nm0000627,Greta Scacchi
537,nm0000628,Johnathon Schaech
538,nm0000630,Liev Schreiber
539,nm0000631,Ridley Scott
540,nm0000633,Tom Selleck
541,nm0000634,Peter Sellers
542,nm0000635,Yahoo Serious
543,nm0000638,William Shatner
544,nm0000639,Ally Sheedy
545,nm0000640,Martin Sheen
546,nm0000641,Gary Sinise
547,nm0000643,Tom Skerritt
548,nm0000644,Helen Slater
549,nm0000647,Alan Smithee
550,nm0000648,Wesley Snipes
551,nm0000649,Paul Sorvino
552,nm0000651,Sissy Spacek
553,nm0000653,Brent Spiner
554,nm0000654,Terence Stamp
555,nm0000655,Eric Stoltz
556,nm0000656,Madeleine Stowe
557,nm0000657,David Strathairn
558,nm0000658,Meryl Streep
559,nm0000659,Barbra Streisand
560,nm0000660,Tami Stronach
561,nm0000661,Donald Sutherland
562,nm0000662,Kiefer Sutherland
563,nm0000663,Dominique Swain
564,nm0000664,Patrick Swayze
565,nm0000666,Lili Taylor
566,nm0000667,David Thewlis
567,nm0000668,Emma Thompson
568,nm0000670,Lea Thompson
569,nm0000671,Billy Bob Thornton
570,nm0000672,Meg Tilly
571,nm0000673,Marisa Tomei
572,nm0000674,Tamlyn Tomita
573,nm0000676,Chris Tucker
574,nm0000677,Robin Tunney
575,nm0000678,Kathleen Turner
576,nm0000679,Deborah Kara Unger
577,nm0000680,Casper Van Dien
578,nm0000681,Vince Vaughn
579,nm0000682,Paul Verhoeven
580,nm0000684,Nana Visitor
581,nm0000685,Jon Voight
582,nm0000686,Christopher Walken
583,nm0000687,J.T. Walsh
584,nm0000688,Sela Ward
585,nm0000690,Lesley Ann Warren
586,nm0000691,John Waters
587,nm0000693,Peter Weller
588,nm0000694,Wim Wenders
589,nm0000696,Wil Wheaton
590,nm0000697,Billy Wilder
591,nm0000698,Gene Wilder
592,nm0000700,Debra Winger
593,nm0000701,Kate Winslet
594,nm0000702,Reese Witherspoon
595,nm0000703,BD Wong
596,nm0000704,Elijah Wood
597,nm0000705,Robin Wright
598,nm0000706,Michelle Yeoh
599,nm0000707,Sean Young
600,nm0000708,Billy Zane
601,nm0000709,Robert Zemeckis
602,nm0000714,Willie Aames
603,nm0000715,Caroline Aaron
604,nm0000719,F. Murray Abraham
605,nm0000720,Jim Abrahams
606,nm0000721,Victoria Abril
607,nm0000724,Brooke Adams
608,nm0000725,Joey Lauren Adams
609,nm0000726,Maud Adams
610,nm0000727,Percy Adlon
611,nm0000728,Mario Adorf
612,nm0000729,Casey Affleck
613,nm0000730,John Agar
614,nm0000731,Brian Aherne
615,nm0000732,Danny Aiello
616,nm0000733,Anouk Aimée
617,nm0000734,Eddie Albert
618,nm0000736,Robert Aldrich
619,nm0000737,Jane Alexander
620,nm0000740,Irwin Allen
621,nm0000741,Tim Allen
622,nm0000742,June Allyson
623,nm0000744,Maria Conchita Alonso
624,nm0000747,Don Ameche
625,nm0000748,Leon Ames
626,nm0000750,Jon Amiel
627,nm0000752,Judith Anderson
628,nm0000755,Lindsay Anderson
629,nm0000759,Paul Thomas Anderson
630,nm0000761,Bibi Andersson
631,nm0000762,Anthony Andrews
632,nm0000763,Dana Andrews
633,nm0000765,Pier Angeli
634,nm0000766,Theodoros Angelopoulos
635,nm0000767,Jean-Hugues Anglade
636,nm0000768,Francesca Annis
637,nm0000770,David Anspaugh
638,nm0000771,Lysette Anthony
639,nm0000773,Laura Antonelli
640,nm0000774,Michelangelo Antonioni
641,nm0000775,Christina Applegate
642,nm0000776,Michael Apted
643,nm0000777,Gregg Araki
644,nm0000778,Alfonso Arau
645,nm0000779,Roscoe 'Fatty' Arbuckle
646,nm0000780,Denys Arcand
647,nm0000781,Eve Arden
648,nm0000782,Asia Argento
649,nm0000783,Dario Argento
650,nm0000784,Pedro Armendáriz
651,nm0000786,George Armitage
652,nm0000787,Bess Armstrong
653,nm0000788,Gillian Armstrong
654,nm0000789,Desi Arnaz
655,nm0000790,James Arness
656,nm0000791,Jack Arnold
657,nm0000792,Tom Arnold
658,nm0000795,Jean Arthur
659,nm0000796,Dana Ashbrook
660,nm0000797,Hal Ashby
661,nm0000798,Linden Ashby
662,nm0000799,Edward Asner
663,nm0000800,Armand Assante
664,nm0000801,Olivier Assayas
665,nm0000802,Mary Astor
666,nm0000803,Christopher Atkins
667,nm0000804,Stéphane Audran
668,nm0000805,Claudine Auger
669,nm0000806,Bille August
670,nm0000808,Paul Auster
671,nm0000809,Daniel Auteuil
672,nm0000810,Gene Autry
673,nm0000811,Frankie Avalon
674,nm0000812,Roger Avary
675,nm0000814,John G. Avildsen
676,nm0000816,Jon Avnet
677,nm0000817,Lew Ayres
678,nm0000818,Shabana Azmi
679,nm0000819,Barbara Bach
680,nm0000821,Amitabh Bachchan
681,nm0000822,Jim Backus
682,nm0000824,John Badham
683,nm0000825,Mary Badham
684,nm0000829,Stuart Baird
685,nm0000832,Diane Baker
686,nm0000833,Joe Don Baker
687,nm0000834,Kathy Baker
688,nm0000835,Ralph Bakshi
689,nm0000837,Bob Balaban
690,nm0000838,Daniel Baldwin
691,nm0000839,Ina Balin
692,nm0000840,Lucille Ball
693,nm0000841,Michael Ballhaus
694,nm0000842,Martin Balsam
695,nm0000843,Anne Bancroft
696,nm0000845,Tallulah Bankhead
697,nm0000846,Ian Bannen
698,nm0000847,Theda Bara
699,nm0000848,Olivia Barash
700,nm0000849,Javier Bardem
701,nm0000850,Clive Barker
702,nm0000851,Lex Barker
703,nm0000852,Jean-Marc Barr
704,nm0000853,Bruno Barreto
705,nm0000855,Raymond J. Barry
706,nm0000856,Ethel Barrymore
